"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Well_Tag_ID","Field_Collection_Type","Field_Collector","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Date_Accuracy","Field_Collection_Comment","Well_Water_Level_Measuring_Point_or_TOC_ID","Sample_Source","Water_Level_Parameter_Name","Water_Level_Value","Water_Level_Value_Units","Water_Level_Qualifier","Water_Level_Qualifier_Description","Water_Level_Accuracy","Water_Level_Method","Water_Level_Method_Description","Water_Level_Comment","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Calculated_Well_Water_Level_Measuring_Point_or_TOC_Elevation_NAVD88_FT","Well_Water_Level_Measuring_Point_or_TOC_Height","Well_Water_Level_Measuring_Point_or_TOC_Height_Units","Calculated_Water_Level_Elevation_NAVD88_FT","Calculated_Water_Level_Elevation_Accuracy_FT","Calculated_Water_Level_Depth_Below_Land_Surface_FT","Study_ID_Alias","EIM_Data_Entry_Review_Status","Result_Suspect_Or_Rejected_Flag","Result_Suspect_Code","Result_Suspect_Description","Record_Created_On","Result_System_ID"
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK309","APK309","Plantes Ferry","APK309","Measurement","WA Dept of Ecology","02/18/2015",00:00:00,"02/18/2015 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","45.04","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.6979700009389,-117.23945,1970.19,,0,"FT",1925.15,"+/- 10 ft (3 m)",45.04,"","Reviewed","","","",7/16/2018 2:40:24 PM,207982089
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK309","APK309","Plantes Ferry","APK309","Measurement","WA Dept of Ecology","03/31/2016",00:00:00,"03/31/2016 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","44.3","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.6979700009389,-117.23945,1970.19,,0,"FT",1925.89,"+/- 10 ft (3 m)",44.3,"","Reviewed","","","",7/16/2018 2:41:14 PM,207982091
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK309","APK309","Plantes Ferry","APK309","Measurement","WA Dept of Ecology","04/10/2014",00:00:00,"04/10/2014 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","44.37","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.6979700009389,-117.23945,1970.19,,0,"FT",1925.82,"+/- 10 ft (3 m)",44.37,"","Reviewed","","","",7/16/2018 2:39:57 PM,207982088
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK309","APK309","Plantes Ferry","APK309","Measurement","WA Dept of Ecology","04/12/2007",00:00:00,"04/12/2007 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","44.18","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.6979700009389,-117.23945,1970.19,,0,"FT",1926.01,"+/- 10 ft (3 m)",44.18,"","Reviewed","","","",7/16/2018 2:36:35 PM,207982080
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK309","APK309","Plantes Ferry","APK309","Measurement","WA Dept of Ecology","04/15/2010",00:00:00,"04/15/2010 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","47.69","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.6979700009389,-117.23945,1970.19,,0,"FT",1922.5,"+/- 10 ft (3 m)",47.69,"","Reviewed","","","",7/16/2018 2:38:12 PM,207982084
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK309","APK309","Plantes Ferry","APK309","Measurement","WA Dept of Ecology","04/19/2011",00:00:00,"04/19/2011 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","43.57","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.6979700009389,-117.23945,1970.19,,0,"FT",1926.62,"+/- 10 ft (3 m)",43.57,"","Reviewed","","","",7/16/2018 2:38:35 PM,207982085
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK309","APK309","Plantes Ferry","APK309","Measurement","WA Dept of Ecology","05/04/2017",00:00:00,"05/04/2017 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","41.6","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.6979700009389,-117.23945,1970.19,,0,"FT",1928.59,"+/- 10 ft (3 m)",41.6,"","Reviewed","","","",7/16/2018 2:41:39 PM,207982092
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK309","APK309","Plantes Ferry","APK309","Measurement","WA Dept of Ecology","05/22/2008",00:00:00,"05/22/2008 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","43.85","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.6979700009389,-117.23945,1970.19,,0,"FT",1926.34,"+/- 10 ft (3 m)",43.85,"","Reviewed","","","",7/16/2018 2:37:22 PM,207982082
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK309","APK309","Plantes Ferry","APK309","Measurement","WA Dept of Ecology","05/23/2018",00:00:00,"05/23/2018 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","42.55","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.6979700009389,-117.23945,1970.19,,0,"FT",1927.64,"+/- 10 ft (3 m)",42.55,"","Reviewed","","","",7/16/2018 2:42:25 PM,207982094
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK309","APK309","Plantes Ferry","APK309","Measurement","WA Dept of Ecology","06/05/2019",00:00:00,"06/05/2019 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","44.7","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.6979700009389,-117.23945,1970.19,,0,"FT",1925.49,"+/- 10 ft (3 m)",44.7,"","Reviewed","","","",6/24/2019 12:48:42 PM,210161678
