"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Well_Tag_ID","Field_Collection_Type","Field_Collector","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Date_Accuracy","Field_Collection_Comment","Well_Water_Level_Measuring_Point_or_TOC_ID","Sample_Source","Water_Level_Parameter_Name","Water_Level_Value","Water_Level_Value_Units","Water_Level_Qualifier","Water_Level_Qualifier_Description","Water_Level_Accuracy","Water_Level_Method","Water_Level_Method_Description","Water_Level_Comment","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Calculated_Well_Water_Level_Measuring_Point_or_TOC_Elevation_NAVD88_FT","Well_Water_Level_Measuring_Point_or_TOC_Height","Well_Water_Level_Measuring_Point_or_TOC_Height_Units","Calculated_Water_Level_Elevation_NAVD88_FT","Calculated_Water_Level_Elevation_Accuracy_FT","Calculated_Water_Level_Depth_Below_Land_Surface_FT","Study_ID_Alias","EIM_Data_Entry_Review_Status","Result_Suspect_Or_Rejected_Flag","Result_Suspect_Code","Result_Suspect_Description","Record_Created_On","Result_System_ID"
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK310","APK310","East Valley High School","APK310","Measurement","WA Dept of Ecology","02/10/2015",00:00:00,"02/10/2015 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","110.73","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.7006600009389,-117.1954,2061.51,,0,"FT",1950.78,"+/- 10 ft (3 m)",110.73,"","Reviewed","","","",7/16/2018 2:24:44 PM,207982072
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK310","APK310","East Valley High School","APK310","Measurement","WA Dept of Ecology","02/18/2015",00:00:00,"02/18/2015 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","107.92","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.7006600009389,-117.1954,2061.51,,0,"FT",1953.59,"+/- 10 ft (3 m)",107.92,"","Reviewed","","","",7/16/2018 2:25:10 PM,207982073
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK310","APK310","East Valley High School","APK310","Measurement","WA Dept of Ecology","03/31/2016",00:00:00,"03/31/2016 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","108.76","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.7006600009389,-117.1954,2061.51,,0,"FT",1952.75,"+/- 10 ft (3 m)",108.76,"","Reviewed","","","",7/16/2018 2:25:59 PM,207982075
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK310","APK310","East Valley High School","APK310","Measurement","WA Dept of Ecology","04/12/2007",00:00:00,"04/12/2007 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","109.18","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.7006600009389,-117.1954,2061.51,,0,"FT",1952.33,"+/- 10 ft (3 m)",109.18,"","Reviewed","","","",7/16/2018 2:20:47 PM,207982064
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK310","APK310","East Valley High School","APK310","Measurement","WA Dept of Ecology","04/15/2010",00:00:00,"04/15/2010 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","115.67","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.7006600009389,-117.1954,2061.51,,0,"FT",1945.84,"+/- 10 ft (3 m)",115.67,"","Reviewed","","","",7/16/2018 2:22:57 PM,207982068
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK310","APK310","East Valley High School","APK310","Measurement","WA Dept of Ecology","05/04/2011",00:00:00,"05/04/2011 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","108.02","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.7006600009389,-117.1954,2061.51,,0,"FT",1953.49,"+/- 10 ft (3 m)",108.02,"","Reviewed","","","",7/16/2018 2:23:28 PM,207982069
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK310","APK310","East Valley High School","APK310","Measurement","WA Dept of Ecology","05/04/2017",00:00:00,"05/04/2017 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","104.29","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.7006600009389,-117.1954,2061.51,,0,"FT",1957.22,"+/- 10 ft (3 m)",104.29,"","Reviewed","","","",7/16/2018 2:26:23 PM,207982076
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK310","APK310","East Valley High School","APK310","Measurement","WA Dept of Ecology","05/22/2008",10:40:00,"05/22/2008 10:40:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","107.73","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.7006600009389,-117.1954,2061.51,,0,"FT",1953.78,"+/- 10 ft (3 m)",107.73,"","Reviewed","","","",7/16/2018 2:21:41 PM,207982066
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK310","APK310","East Valley High School","APK310","Measurement","WA Dept of Ecology","05/23/2018",00:00:00,"05/23/2018 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","103.97","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.7006600009389,-117.1954,2061.51,,0,"FT",1957.54,"+/- 10 ft (3 m)",103.97,"","Reviewed","","","",7/16/2018 2:26:48 PM,207982077
"EROGWDB","Ecology Eastern Regional Office Groundwater Database","APK310","APK310","East Valley High School","APK310","Measurement","WA Dept of Ecology","06/05/2019",00:00:00,"06/05/2019 00:00:00","","","MP1","Groundwater","Water level in well (depth below measuring point)","111.46","ft","","","Water level accurate to +/- 0.01ft","GWLMT","Groundwater level by electric tape measurement.","",47.7006600009389,-117.1954,2061.51,,0,"FT",1950.05,"+/- 10 ft (3 m)",111.46,"","Reviewed","","","",6/24/2019 12:50:00 PM,210161679
