"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.62168","-117.52796","717.7","2020-01-01",,,,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.62168","-117.52796","717.7","2020-01-02",,,,,"0.05",",,W,2400","0.3",",,W,2400","0.0","T,,W,2400"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.62168","-117.52796","717.7","2020-01-03",,,,,"0.01",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.62168","-117.52796","717.7","2020-01-04",,,,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.62168","-117.52796","717.7","2020-01-05",,,,,"0.04",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.62168","-117.52796","717.7","2020-01-06",,,,,"0.06",",,W,2400","0.7",",,W,2400","0.0",",,W,2400"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.62168","-117.52796","717.7","2020-01-07",,,,,"0.05",",,W,2400","0.0",",,W,2400","0.0",",,W,2400"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.62168","-117.52796","717.7","2020-01-08",,,,,"0.00","T,,W,2400","0.1",",,W,2400","0.0","T,,W,2400"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.62168","-117.52796","717.7","2020-01-09",,,,,"0.00","T,,W,2400","0.0","T,,W,2400","0.0","T,,W,2400"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.62168","-117.52796","717.7","2020-01-10",,,,,"0.56",",,W,2400","7.0",",,W,2400","0.0",",,W,2400"
